Intent,User_Input,Response,Entity,Category
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Sildenafil and Levothyroxine together?,Sildenafil and Levothyroxine may have Moderate interaction.,Sildenafil/Levothyroxine,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Interaction_Check,Can I take Lithium and Lisinopril together?,Lithium and Lisinopril may have Major interaction.,Lithium/Lisinopril,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Interaction_Check,Can I take Levothyroxine and Omeprazole together?,Levothyroxine and Omeprazole may have Major interaction.,Levothyroxine/Omeprazole,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Interaction_Check,Can I take Amiodarone and Clopidogrel together?,Amiodarone and Clopidogrel do not have significant interactions.,Amiodarone/Clopidogrel,Drug
Drug_Info,What is Sildenafil used for?,Sildenafil is used for treatment of its respective condition.,Sildenafil,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Side_Effect,What are side effects of Lithium?,Common side effects of Lithium include mild to moderate reactions.,Lithium,Drug
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Metformin?,Common side effects of Metformin include mild to moderate reactions.,Metformin,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Interaction_Check,Can I take Clopidogrel and Simvastatin together?,Clopidogrel and Simvastatin do not have significant interactions.,Clopidogrel/Simvastatin,Drug
Interaction_Check,Can I take Lithium and Warfarin together?,Lithium and Warfarin may have Major interaction.,Lithium/Warfarin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Aspirin?,Typical dose for Aspirin depends on individual condition. Consult doctor.,Aspirin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Interaction_Check,Can I take Lisinopril and Levothyroxine together?,Lisinopril and Levothyroxine may have Minor interaction.,Lisinopril/Levothyroxine,Drug
Interaction_Check,Can I take Aspirin and Simvastatin together?,Aspirin and Simvastatin may have Moderate interaction.,Aspirin/Simvastatin,Drug
Side_Effect,What are side effects of Clopidogrel?,Common side effects of Clopidogrel include mild to moderate reactions.,Clopidogrel,Drug
Interaction_Check,Can I take Sildenafil and Omeprazole together?,Sildenafil and Omeprazole may have Moderate interaction.,Sildenafil/Omeprazole,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Dosage,Recommended dose of Ibuprofen?,Typical dose for Ibuprofen depends on individual condition. Consult doctor.,Ibuprofen,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Ibuprofen?,Typical dose for Ibuprofen depends on individual condition. Consult doctor.,Ibuprofen,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Interaction_Check,Can I take Warfarin and Sildenafil together?,Warfarin and Sildenafil do not have significant interactions.,Warfarin/Sildenafil,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Interaction_Check,Can I take Amiodarone and Omeprazole together?,Amiodarone and Omeprazole may have Moderate interaction.,Amiodarone/Omeprazole,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Side_Effect,What are side effects of Lithium?,Common side effects of Lithium include mild to moderate reactions.,Lithium,Drug
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Interaction_Check,Can I take Warfarin and Ibuprofen together?,Warfarin and Ibuprofen may have Moderate interaction.,Warfarin/Ibuprofen,Drug
Interaction_Check,Can I take Lisinopril and Aspirin together?,Lisinopril and Aspirin do not have significant interactions.,Lisinopril/Aspirin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Interaction_Check,Can I take Ibuprofen and Sildenafil together?,Ibuprofen and Sildenafil do not have significant interactions.,Ibuprofen/Sildenafil,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Interaction_Check,Can I take Prednisone and Lisinopril together?,Prednisone and Lisinopril do not have significant interactions.,Prednisone/Lisinopril,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Drug_Info,What is Sildenafil used for?,Sildenafil is used for treatment of its respective condition.,Sildenafil,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Interaction_Check,Can I take Sildenafil and Metformin together?,Sildenafil and Metformin may have Minor interaction.,Sildenafil/Metformin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Interaction_Check,Can I take Clopidogrel and Warfarin together?,Clopidogrel and Warfarin may have Moderate interaction.,Clopidogrel/Warfarin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Interaction_Check,Can I take Levothyroxine and Aspirin together?,Levothyroxine and Aspirin may have Moderate interaction.,Levothyroxine/Aspirin,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Drug_Dosage,Recommended dose of Ibuprofen?,Typical dose for Ibuprofen depends on individual condition. Consult doctor.,Ibuprofen,Drug
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Interaction_Check,Can I take Simvastatin and Digoxin together?,Simvastatin and Digoxin may have Minor interaction.,Simvastatin/Digoxin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Interaction_Check,Can I take Prednisone and Omeprazole together?,Prednisone and Omeprazole may have Minor interaction.,Prednisone/Omeprazole,Drug
Interaction_Check,Can I take Omeprazole and Lisinopril together?,Omeprazole and Lisinopril do not have significant interactions.,Omeprazole/Lisinopril,Drug
Interaction_Check,Can I take Digoxin and Prednisone together?,Digoxin and Prednisone may have Minor interaction.,Digoxin/Prednisone,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Interaction_Check,Can I take Aspirin and Levothyroxine together?,Aspirin and Levothyroxine may have Major interaction.,Aspirin/Levothyroxine,Drug
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Interaction_Check,Can I take Omeprazole and Digoxin together?,Omeprazole and Digoxin may have Moderate interaction.,Omeprazole/Digoxin,Drug
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Interaction_Check,Can I take Omeprazole and Metformin together?,Omeprazole and Metformin do not have significant interactions.,Omeprazole/Metformin,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Info,What is Sildenafil used for?,Sildenafil is used for treatment of its respective condition.,Sildenafil,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Side_Effect,What are side effects of Aspirin?,Common side effects of Aspirin include mild to moderate reactions.,Aspirin,Drug
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Side_Effect,What are side effects of Lithium?,Common side effects of Lithium include mild to moderate reactions.,Lithium,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Interaction_Check,Can I take Amiodarone and Digoxin together?,Amiodarone and Digoxin do not have significant interactions.,Amiodarone/Digoxin,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Interaction_Check,Can I take Clopidogrel and Sildenafil together?,Clopidogrel and Sildenafil may have Major interaction.,Clopidogrel/Sildenafil,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Interaction_Check,Can I take Levothyroxine and Metformin together?,Levothyroxine and Metformin may have Minor interaction.,Levothyroxine/Metformin,Drug
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Interaction_Check,Can I take Clopidogrel and Sildenafil together?,Clopidogrel and Sildenafil may have Major interaction.,Clopidogrel/Sildenafil,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Interaction_Check,Can I take Prednisone and Amiodarone together?,Prednisone and Amiodarone do not have significant interactions.,Prednisone/Amiodarone,Drug
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Interaction_Check,Can I take Simvastatin and Aspirin together?,Simvastatin and Aspirin may have Moderate interaction.,Simvastatin/Aspirin,Drug
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Interaction_Check,Can I take Digoxin and Ibuprofen together?,Digoxin and Ibuprofen do not have significant interactions.,Digoxin/Ibuprofen,Drug
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Interaction_Check,Can I take Aspirin and Prednisone together?,Aspirin and Prednisone may have Minor interaction.,Aspirin/Prednisone,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Drug_Dosage,Recommended dose of Ibuprofen?,Typical dose for Ibuprofen depends on individual condition. Consult doctor.,Ibuprofen,Drug
Interaction_Check,Can I take Prednisone and Levothyroxine together?,Prednisone and Levothyroxine may have Moderate interaction.,Prednisone/Levothyroxine,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Interaction_Check,Can I take Ibuprofen and Lisinopril together?,Ibuprofen and Lisinopril do not have significant interactions.,Ibuprofen/Lisinopril,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Drug_Info,What is Sildenafil used for?,Sildenafil is used for treatment of its respective condition.,Sildenafil,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Aspirin and Amiodarone together?,Aspirin and Amiodarone may have Major interaction.,Aspirin/Amiodarone,Drug
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
